date_vente;heure;magasin;code_produit;libelle_produit;qte;prix_unitaire;mode_paiement
22/07/2025;21:51;Magasin-Douala-01;P-0403;Power Bank 10000mAh;3;15000;Orange Money
13/12/2025;18:57;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Cash
28/09/2025;17:50;Magasin-Douala-01;P-0411;Savon Noir Artisanal;3;2000;Mobile Money
30/03/2026;19:14;Magasin-Douala-02;P-0414;Set 6 Verres Décorés;1;9000;Mobile Money
26/09/2025;17:04;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;3;3150;Cash
25/03/2026;08:57;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
20/07/2025;21:17;Magasin-Douala-02;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
03/10/2025;20:58;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;1;15500;Cash
07/04/2026;19:57;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;12500;Mobile Money
26/05/2026;16:06;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
09/01/2026;19:28;Magasin-Douala-01;P-0404;Montre Connectée FitTrack;3;32000;Orange Money
03/09/2025;13:16;Magasin-Yaounde-01;P-0404;Montre Connectée FitTrack;1;32000;Mobile Money
07/12/2025;18:20;Magasin-Yaounde-01;P-0414;Set 6 Verres Décorés;1;9000;Mobile Money
29/08/2025;19:25;Magasin-Douala-02;P-0409;Sandales Cuir Artisanales;;12500;Mobile Money
13/06/2025;12:55;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;1;5000;Carte Bancaire
03/03/2026;18:30;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;1900;Orange Money
21/02/2026;08:00;Magasin-Douala-01;P-0405;Enceinte Bluetooth Mini;1;12000;Carte Bancaire
15/12/2025;11:18;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;2;2000;Carte Bancaire
26/12/2025;16:37;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;1;15000;Orange Money
27/02/2026;15:38;Magasin-Douala-02;P-0402;Chargeur Solaire Portable 20W;1;16200;Mobile Money
14/12/2025;18:42;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
05/04/2026;11:06;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;11250;Carte Bancaire
05/05/2026;11:52;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;2;24500;Cash
23/12/2025;10:23;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
21/10/2025;14:18;Magasin-Douala-02;P-0413;Mug Personnalisé Céramique;1;5000;Carte Bancaire
05/03/2026;16:57;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;2;4500;Orange Money
14/12/2025;20:55;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
03/10/2025;18:40;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;1;12500;Orange Money
12/11/2025;21:09;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;5000;Mobile Money
04/11/2025;20:29;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
04/04/2026;13:10;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
24/03/2026;21:00;Magasin-Bafoussam-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
01/05/2026;20:13;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;2;12500;Orange Money
27/07/2025;13:51;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;1;24500;Cash
02/12/2025;12:16;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;4750;Carte Bancaire
17/12/2025;11:31;Magasin-Yaounde-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
02/05/2026;21:48;Magasin-Yaounde-01;P-0405;Enceinte Bluetooth Mini;1;12000;Carte Bancaire
18/11/2025;17:57;Magasin-Douala-01;P-0414;Set 6 Verres Décorés;1;9000;Orange Money
27/01/2026;18:45;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
12/03/2026;19:35;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
12/06/2025;14:51;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;1800;Orange Money
04/11/2025;10:41;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;3;4500;Cash
24/06/2025;15:38;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;2;4500;Orange Money
10/10/2025;15:06;Magasin-Douala-01;P-0408;Sac à Main Cuir Bafia;1;35000;Mobile Money
15/05/2026;13:01;Magasin-Yaounde-01;P-0406;Robe Wax Modèle Akwa;2;28000;Cash
21/07/2025;09:22;Magasin-Douala-01;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
12/08/2025;15:42;Magasin-Douala-01;P-0410;Huile Coco Bio 500 ml;1;4500;Cash
01/02/2026;10:53;Magasin-Douala-02;P-0403;Power Bank 10000mAh;3;15000;Carte Bancaire
10/04/2026;18:44;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
11/03/2026;17:57;Magasin-Yaounde-01;P-0404;Montre Connectée FitTrack;1;32000;Carte Bancaire
18/08/2025;12:52;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
15/12/2025;19:30;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;1;3500;Mobile Money
09/07/2025;13:02;Magasin-Douala-02;P-0411;Savon Noir Artisanal;3;2000;Cash
17/02/2026;15:09;Magasin-Bafoussam-01;P-0407;Chemise Homme Slim Fit;1;15500;Orange Money
07/05/2026;21:17;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;2;4050;Orange Money
14/12/2025;09:03;Magasin-Douala-02;P-0403;Power Bank 10000mAh;1;15000;Orange Money
13/12/2025;21:47;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Cash
19/02/2026;08:18;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;1;22050;Mobile Money
22/10/2025;19:15;Magasin-Douala-02;P-0402;Chargeur Solaire Portable 20W;1;18000;Orange Money
10/11/2025;17:13;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
17/02/2026;14:28;Magasin-Douala-01;P-0411;Savon Noir Artisanal;2;2000;Cash
22/05/2026;19:45;Magasin-Bafoussam-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
28/09/2025;09:45;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;3;12500;Cash
04/05/2026;21:56;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;2;15500;Cash
30/12/2025;16:24;Magasin-Bafoussam-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
29/04/2026;09:17;Magasin-Douala-01;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
13/07/2025;16:45;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;2;3500;Carte Bancaire
29/05/2026;13:39;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;3;12000;Mobile Money
07/04/2026;08:54;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;1;3500;Orange Money
18/10/2025;12:25;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;2;18000;Carte Bancaire
21/05/2026;20:07;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;2;4500;Mobile Money
11/02/2026;09:19;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
12/03/2026;09:36;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
23/12/2025;16:24;Magasin-Douala-01;P-0409;Sandales Cuir Artisanales;2;12500;Carte Bancaire
27/10/2025;12:57;Magasin-Yaounde-01;P-0404;Montre Connectée FitTrack;3;32000;Cash
10/06/2025;08:44;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;1900;Cash
14/01/2026;10:16;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
03/06/2025;14:42;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Mobile Money
21/09/2025;17:30;Magasin-Bafoussam-01;P-0407;Chemise Homme Slim Fit;1;15500;Orange Money
08/11/2025;21:29;Magasin-Bafoussam-01;P-0406;Robe Wax Akwa;2;28000;Mobile Money
06/12/2025;14:06;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;1;24500;Orange Money
28/09/2025;21:07;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;13950;Carte Bancaire
15/04/2026;11:12;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Mobile Money
24/06/2025;17:51;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;;3500;Orange Money
04/03/2026;10:42;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;2;4500;Mobile Money
30/12/2025;08:55;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;11875;Mobile Money
24/12/2025;10:45;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Orange Money
08/12/2025;17:22;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;2;24500;Orange Money
10/07/2025;14:09;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;3;3500;Orange Money
07/09/2025;08:08;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;2;5000;Orange Money
13/04/2026;13:55;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;1;13500;Carte Bancaire
04/03/2026;12:15;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;2;24500;Mobile Money
20/10/2025;11:44;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;2;2000;Mobile Money
18/04/2026;08:24;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Orange Money
03/06/2025;15:56;Magasin-Douala-02;P-0406;Robe Wax Modèle Akwa;1;26600;Mobile Money
08/06/2025;18:33;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Orange Money
25/06/2025;18:50;Magasin-Yaounde-01;P-0404;Montre Connectée FitTrack;1;32000;Orange Money
02/02/2026;16:32;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;2;12000;Orange Money
13/12/2025;10:32;Magasin-Yaounde-01;P-0405;Enceinte Bluetooth Mini;1;10800;Carte Bancaire
07/06/2025;10:34;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Mobile Money
16/11/2025;15:05;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
03/12/2025;21:39;Magasin-Yaounde-01;P-0401;Casque Bluetooth XR-200;2;24500;Mobile Money
01/12/2025;21:18;Magasin-Bafoussam-01;P-0408;Sac à Main Cuir Bafia;1;31500;Carte Bancaire
09/12/2025;14:37;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
13/12/2025;17:16;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
05/04/2026;08:23;Magasin-Douala-01;P-0409;Sandales Cuir Artisanales;1;12500;Orange Money
03/08/2025;11:39;Magasin-Douala-01;P-0401;Casque BT XR200;2;24500;Cash
17/12/2025;21:12;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Carte Bancaire
08/09/2025;12:57;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;2;4500;Carte Bancaire
06/12/2025;16:37;Magasin-Yaounde-01;P-0413;Mug Personnalisé Céramique;1;5000;Orange Money
25/09/2025;18:48;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Cash
16/09/2025;11:44;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
15/12/2025;10:20;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
12/12/2025;12:29;Magasin-Douala-02;P-0404;Montre Connectée FitTrack;1;32000;Orange Money
07/04/2026;14:12;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;22050;Cash
15/08/2025;21:02;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;1;11250;Orange Money
03/12/2025;19:59;Magasin-Bafoussam-01;P-0408;Sac à Main Cuir Bafia;1;35000;Cash
18/05/2026;18:41;Magasin-Bafoussam-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
22/12/2025;16:43;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;3;22050;Carte Bancaire
11/12/2025;08:27;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;1900;Cash
06/04/2026;11:07;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4050;Carte Bancaire
01/03/2026;12:26;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;3;32000;Orange Money
21/04/2026;08:11;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;4500;Orange Money
30/12/2025;13:59;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
13/06/2025;19:35;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;1;15000;Cash
02/10/2025;10:26;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;2;5000;Mobile Money
12/07/2025;13:31;Magasin-Douala-02;P-0404;Montre Connectée FitTrack;1;32000;Orange Money
10/07/2025;10:07;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;2;15000;Cash
08/10/2025;21:07;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Cash
20/06/2025;21:39;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
23/12/2025;08:48;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;1;3500;Orange Money
11/08/2025;17:44;Magasin-Bafoussam-01;P-0414;Set 6 Verres Décorés;1;9000;Carte Bancaire
16/08/2025;16:50;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
17/10/2025;18:01;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Mobile Money
12/04/2026;11:53;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;1;15000;Cash
02/01/2026;14:57;Magasin-Douala-02;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
10/02/2026;16:03;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;1;28000;Carte Bancaire
24/03/2026;10:30;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Mobile Money
10/07/2025;14:26;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;2;24500;Orange Money
13/07/2025;17:06;Magasin-Yaounde-01;P-0401;Casque Bluetooth XR-200;1;24500;Carte Bancaire
06/10/2025;09:30;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;2;12000;Cash
09/11/2025;19:08;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
10/09/2025;14:25;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
09/02/2026;18:58;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
26/12/2025;10:29;Magasin-Yaounde-01;P-0413;Mug Personnalisé Céramique;3;5000;Cash
10/05/2026;10:58;Magasin-Yaounde-01;P-0405;Enceinte Bluetooth Mini;1;12000;Mobile Money
07/09/2025;15:43;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;2;3325;Cash
28/11/2025;21:57;Magasin-Bafoussam-01;P-0408;Sac à Main Cuir Bafia;3;35000;Carte Bancaire
04/09/2025;19:04;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Cash
21/07/2025;12:46;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Cash
21/10/2025;20:18;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Carte Bancaire
24/02/2026;15:44;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
06/08/2025;18:48;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;5000;Cash
17/02/2026;20:18;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
12/06/2025;17:28;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
11/10/2025;10:32;Magasin-Bafoussam-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
01/09/2025;17:04;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;5000;Mobile Money
26/09/2025;13:57;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Cash
14/10/2025;19:55;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;28800;Cash
01/10/2025;15:34;Magasin-Douala-01;P-0401;Casque BT XR200;2;24500;Orange Money
03/08/2025;10:04;Magasin-Douala-02;P-0403;Power Bank 10000mAh;1;15000;Orange Money
17/08/2025;18:32;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;1;12000;Cash
27/06/2025;13:54;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;1900;Orange Money
15/12/2025;10:28;Magasin-Douala-02;P-0413;Mug Personnalisé Céramique;1;5000;Cash
18/01/2026;20:31;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;14725;Orange Money
25/04/2026;17:59;Magasin-Yaounde-01;P-0408;Sac à Main Cuir Bafia;1;35000;Cash
30/04/2026;17:39;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
01/11/2025;12:06;Magasin-Douala-02;P-0411;Savon Noir Artisanal;2;2000;Carte Bancaire
19/03/2026;10:25;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;2;15500;Mobile Money
28/11/2025;17:46;Magasin-Bafoussam-01;P-0406;Robe Wax Modèle Akwa;1;28000;Orange Money
02/12/2025;19:14;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;5000;Cash
07/05/2026;12:52;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
12/12/2025;08:09;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;1;3150;Cash
04/01/2026;17:49;Magasin-Bafoussam-01;P-0408;Sac à Main Cuir Bafia;1;35000;Mobile Money
27/11/2025;10:20;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
14/12/2025;11:10;Magasin-Douala-02;P-0403;Power Bank 10000mAh;2;15000;Orange Money
15/12/2025;10:25;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;3;32000;Carte Bancaire
26/11/2025;12:48;Magasin-Douala-02;P-0403;Power Bank 10000mAh;2;15000;Mobile Money
20/07/2025;18:19;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Orange Money
30/04/2026;18:16;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
29/12/2025;08:41;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;1;5000;Cash
10/06/2025;17:06;Magasin-Yaounde-01;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
24/12/2025;18:24;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;2;15500;Mobile Money
29/09/2025;08:49;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
11/12/2025;15:23;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;1;12000;Carte Bancaire
20/11/2025;16:20;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Cash
04/09/2025;19:31;Magasin-Douala-01;P-0404;Montre Connectée FitTrack;1;32000;Orange Money
19/11/2025;21:57;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;1;5000;Carte Bancaire
30/10/2025;17:00;Magasin-Douala-01;P-0403;Power Bank 10000mAh;3;15000;Orange Money
12/09/2025;17:51;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Orange Money
26/06/2025;09:25;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Mobile Money
01/07/2025;09:29;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
12/05/2026;17:36;Magasin-Douala-01;P-0410;Huile Coco Bio 500 ml;3;4500;Orange Money
16/08/2025;21:59;Magasin-Yaounde-01;P-0404;Montre Connectée FitTrack;1;30400;Orange Money
14/02/2026;20:13;Magasin-Bafoussam-01;P-0407;Chemise Homme Slim Fit;1;15500;Orange Money
13/02/2026;19:14;Magasin-Douala-01;P-0414;Set 6 Verres Décorés;1;9000;Orange Money
14/11/2025;21:21;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Orange Money
15/07/2025;13:24;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
25/12/2025;17:41;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;2;24500;Orange Money
14/11/2025;12:42;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;1;24500;Carte Bancaire
27/12/2025;15:34;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;1;3500;Carte Bancaire
13/12/2025;20:01;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
04/11/2025;12:03;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;2;15500;Carte Bancaire
18/05/2026;20:53;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;17100;Orange Money
23/02/2026;21:18;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Orange Money
17/05/2026;17:17;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;17100;Mobile Money
24/11/2025;12:43;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
30/08/2025;08:02;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
18/07/2025;17:35;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
01/01/2026;09:39;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
20/06/2025;10:55;Magasin-Douala-02;P-0414;Set 6 Verres Décorés;2;9000;Carte Bancaire
29/01/2026;13:36;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;5000;Cash
07/12/2025;19:17;Magasin-Douala-01;P-0403;Power Bank 10000mAh;1;15000;Cash
03/06/2025;13:41;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;2;12500;Mobile Money
07/12/2025;09:13;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
13/09/2025;08:32;Magasin-Douala-02;P-0403;Power Bank 10000mAh;2;15000;Mobile Money
21/09/2025;11:16;Magasin-Douala-02;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
08/01/2026;14:10;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
20/05/2026;13:46;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Carte Bancaire
21/02/2026;13:47;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
02/12/2025;15:46;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;1800;Carte Bancaire
13/05/2026;10:48;Magasin-Douala-01;P-0409;Sandales Cuir Artisanales;1;12500;Orange Money
09/12/2025;09:05;Magasin-Bafoussam-01;P-0414;Set 6 Verres Décorés;1;9000;Mobile Money
16/07/2025;15:37;Magasin-Douala-01;P-0414;Set 6 Verres Décorés;1;9000;Carte Bancaire
27/05/2026;20:49;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Carte Bancaire
04/12/2025;20:41;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
14/12/2025;10:09;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Carte Bancaire
02/08/2025;08:28;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
30/04/2026;17:16;Magasin-Douala-02;P-0413;Mug Personnalisé Céramique;1;4750;Cash
07/07/2025;17:33;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;3;4500;Orange Money
25/05/2026;20:06;Magasin-Douala-02;P-0408;Sac à Main Cuir Bafia;2;35000;Mobile Money
03/04/2026;18:48;Magasin-Douala-01;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
08/07/2025;13:10;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
24/02/2026;08:29;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Cash
14/06/2025;14:32;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
18/10/2025;21:31;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Cash
30/05/2026;15:54;Magasin-Douala-02;P-0407;Chemise Homme Slim Fit;1;15500;Mobile Money
14/02/2026;12:14;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
05/02/2026;20:24;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
17/06/2025;16:54;Magasin-Douala-02;P-0409;Sandales Cuir Artisanales;2;12500;Mobile Money
24/07/2025;14:22;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;;2000;Mobile Money
25/07/2025;15:33;Magasin-Douala-01;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
28/02/2026;20:10;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;;15000;Mobile Money
18/03/2026;17:22;Magasin-Bafoussam-01;P-0406;Robe Wax Modèle Akwa;1;28000;Cash
03/07/2025;21:40;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
30/08/2025;17:41;Magasin-Douala-01;P-0403;Power Bank 10000mAh;2;15000;Carte Bancaire
20/10/2025;14:05;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;2;24500;Orange Money
07/02/2026;18:47;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;16200;Cash
27/11/2025;11:23;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
05/07/2025;21:53;Magasin-Douala-01;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
03/12/2025;20:46;Magasin-Douala-02;P-0404;Montre Connectée FitTrack;3;32000;Cash
20/12/2025;08:55;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;2;24500;Carte Bancaire
31/01/2026;18:53;Magasin-Bafoussam-01;P-0414;Set 6 Verres Décorés;1;9000;Orange Money
03/12/2025;11:14;Magasin-Douala-01;P-0405;Enceinte Bluetooth Mini;1;12000;Mobile Money
10/03/2026;14:09;Magasin-Yaounde-01;P-0401;casque bluetooth xr-200;1;24500;Orange Money
28/04/2026;14:23;Magasin-Douala-01;P-0409;Sandales Cuir Artisanales;1;12500;Cash
07/12/2025;13:32;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;2;4500;Carte Bancaire
01/07/2025;09:48;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
26/11/2025;16:35;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;3;25200;Orange Money
17/06/2025;13:07;Magasin-Douala-02;P-0411;Savon Noir Artisanal;3;2000;Orange Money
